13.9099 	DATA 	Mouse: wheel shift=(0,0), pos=(779,491)
13.9357 	DATA 	Mouse: Right button down, pos=(779,491)
13.9547 	DATA 	Mouse: wheel shift=(0,0), pos=(779,491)
14.5773 	DATA 	Mouse:  Right button up, pos=(374,568)
15.3983 	DATA 	Mouse: Left button down, pos=(344,567)
16.0972 	DATA 	Mouse:  Left button up, pos=(481,570)
16.5594 	DATA 	Mouse: wheel shift=(0,0), pos=(488,572)
16.6208 	DATA 	Mouse: wheel shift=(0,0), pos=(488,572)
16.6381 	DATA 	Mouse: wheel shift=(0,0), pos=(488,572)
16.6546 	DATA 	Mouse: wheel shift=(0,0), pos=(488,572)
16.6721 	DATA 	Mouse: wheel shift=(0,0), pos=(488,572)
16.6755 	DATA 	Mouse: wheel shift=(0,0), pos=(488,572)
16.6917 	DATA 	Mouse: wheel shift=(0,0), pos=(488,572)
16.7711 	DATA 	Mouse: Right button down, pos=(488,572)
16.7880 	DATA 	Mouse: wheel shift=(0,0), pos=(488,572)
17.4595 	DATA 	Mouse:  Right button up, pos=(24,580)
17.4946 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.5141 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.7473 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.7547 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.7710 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.7835 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.7881 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.8010 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.8049 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.8208 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.8239 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.8391 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.8436 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.8598 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.8831 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.8981 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.9044 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.9206 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.9389 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.9580 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.9726 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
17.9972 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.0183 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.0216 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.0348 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.0392 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.0552 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.0592 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.0722 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.0754 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.0916 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.1101 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.1312 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.1481 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.1682 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.1731 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.1766 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.1922 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.2127 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.2311 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.2513 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.2562 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.2600 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.2758 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.2961 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
18.3145 	DATA 	Mouse: wheel shift=(0,0), pos=(24,581)
